Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,19:32:39.7621,Discrete,KeyDown,2,3,6,11,w,Correct,W,0,2571048,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:39.8099,Discrete,KeyDown,2,3,6,11,e,Correct,E,0,04838401,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:39.8099,Discrete,Sequence Success,2,3,6,11,NA,NA,NA,NA,0,3610933,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:32:42.2827,Discrete,InputWindowOver,2,3,7,11,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:33:03.5743,Discrete,KeyDown,2,3,7,12,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:03.7124,Discrete,KeyDown,2,3,7,12,e,Failed,T,0,1388218,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:04.1219,Discrete,KeyDown,2,3,7,12,t,Correct,T,0,4097839,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:04.1917,Discrete,KeyDown,2,3,7,12,r,Correct,R,0,06948763,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:04.4626,Discrete,KeyDown,2,3,7,12,w,Correct,W,0,2708895,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:04.5177,Discrete,KeyDown,2,3,7,12,e,Correct,E,0,05554694,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:04.5177,Discrete,Sequence Success,2,3,7,12,NA,NA,NA,NA,0,9445297,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:04.8591,Discrete,KeyDown,2,3,7,12,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:04.9134,Discrete,KeyDown,2,3,7,12,r,Correct,R,0,0556587,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.1017,Discrete,KeyDown,2,3,7,12,w,Correct,W,0,1875357,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.1918,Discrete,KeyDown,2,3,7,12,e,Correct,E,0,09012263,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.1918,Discrete,Sequence Success,2,3,7,12,NA,NA,NA,NA,0,333317,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.5662,Discrete,KeyDown,2,3,7,12,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.6227,Discrete,KeyDown,2,3,7,12,r,Correct,R,0,0555618,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.8927,Discrete,KeyDown,2,3,7,12,w,Correct,W,0,2710216,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.9487,Discrete,KeyDown,2,3,7,12,e,Correct,E,0,05526099,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:05.9487,Discrete,Sequence Success,2,3,7,12,NA,NA,NA,NA,0,3818444,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:06.5039,Discrete,InputWindowOver,2,3,7,12,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
2020-05-20,19:33:25.5729,Discrete,KeyDown,2,3,7,13,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:25.6429,Discrete,KeyDown,2,3,7,13,e,Failed,T,0,0695371,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:25.9626,Discrete,KeyDown,2,3,7,13,t,Correct,T,0,3194411,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:26.0599,Discrete,KeyDown,2,3,7,13,r,Correct,R,0,09709254,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:26.3579,Discrete,KeyDown,2,3,7,13,w,Correct,W,0,2985028,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:26.3999,Discrete,KeyDown,2,3,7,13,e,Correct,E,0,04170161,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:26.3999,Discrete,Sequence Success,2,3,7,13,NA,NA,NA,NA,0,8262752,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:33:28.5036,Discrete,InputWindowOver,2,3,8,13,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:33:34.7059,Discrete,Frustration Questionnaire,NA,NA,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
2020-05-20,19:34:01.2879,Discrete,KeyDown,3,5,8,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:01.3648,Discrete,KeyDown,3,5,8,14,r,Correct,R,0,0763074,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:01.6139,Discrete,KeyDown,3,5,8,14,w,Correct,W,0,2500198,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:01.6769,Discrete,KeyDown,3,5,8,14,e,Correct,E,0,06237772,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:01.6769,Discrete,Sequence Success,3,5,8,14,NA,NA,NA,NA,0,3887049,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:02.0177,Discrete,KeyDown,3,5,8,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:02.1008,Discrete,KeyDown,3,5,8,14,r,Correct,R,0,08326279,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:04.1839,Discrete,InputWindowOver,3,5,9,14,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,19:34:25.9195,Discrete,KeyDown,3,5,9,15,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:25.9957,Discrete,KeyDown,3,5,9,15,e,Failed,T,0,076546,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:26.3228,Discrete,KeyDown,3,5,9,15,t,Correct,T,0,3262877,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:26.3918,Discrete,KeyDown,3,5,9,15,r,Correct,R,0,06936976,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:26.6699,Discrete,KeyDown,3,5,9,15,w,Correct,W,0,2777885,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:26.7179,Discrete,KeyDown,3,5,9,15,e,Correct,E,0,04869139,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:26.7179,Discrete,Sequence Success,3,5,9,15,NA,NA,NA,NA,0,7986834,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:27.0453,Discrete,KeyDown,3,5,9,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:27.1348,Discrete,KeyDown,3,5,9,15,r,Correct,R,0,0905037,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:27.3709,Discrete,KeyDown,3,5,9,15,w,Correct,W,0,2359424,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:27.4469,Discrete,KeyDown,3,5,9,15,e,Correct,E,0,07647806,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:27.4479,Discrete,Sequence Success,3,5,9,15,NA,NA,NA,NA,0,4029242,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:27.7875,Discrete,KeyDown,3,5,9,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:27.8709,Discrete,KeyDown,3,5,9,15,r,Correct,R,0,08331,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:28.1488,Discrete,KeyDown,3,5,9,15,w,Correct,W,0,2777779,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:28.2109,Discrete,KeyDown,3,5,9,15,e,Correct,E,0,0624207,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:28.2109,Discrete,Sequence Success,3,5,9,15,NA,NA,NA,NA,0,4235086,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:28.5719,Discrete,KeyDown,3,5,9,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,19:34:28.6418,Discrete,KeyDown,3,5,9,15,r,Correct,R,0,0694736,NA,NA,NA,NA,NA,NA,NA,NA,
