Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,13:04:30.4394,Discrete,KeyDown,1,0,2,7,r,Correct,R,0,2335741,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:30.7389,Discrete,KeyDown,1,0,2,7,w,Correct,W,0,3001995,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:30.9725,Discrete,KeyDown,1,0,2,7,e,Correct,E,0,2335644,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:30.9735,Discrete,Sequence Success,1,0,2,7,NA,NA,NA,NA,0,767338,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:32.9084,Discrete,InputWindowOver,1,0,3,7,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:04:52.3461,Discrete,KeyDown,1,1,3,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:52.6305,Discrete,KeyDown,1,1,3,8,r,Correct,R,0,2835407,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:52.8801,Discrete,KeyDown,1,1,3,8,w,Correct,W,0,2503392,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:53.1307,Discrete,KeyDown,1,1,3,8,e,Correct,E,0,2504686,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:53.1307,Discrete,Sequence Success,1,1,3,8,NA,NA,NA,NA,0,7843484,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:04:54.8502,Discrete,InputWindowOver,1,1,4,8,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:05:25.4186,Discrete,Frustration Questionnaire,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,
2020-05-19,13:05:44.8204,Discrete,KeyDown,1,8,4,9,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:05:45.1046,Discrete,KeyDown,1,8,4,9,r,Correct,R,0,2836097,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:05:45.3551,Discrete,KeyDown,1,8,4,9,w,Correct,W,0,2503953,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:05:45.6890,Discrete,KeyDown,1,8,4,9,e,Correct,E,0,3333993,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:05:45.6890,Discrete,Sequence Success,1,8,4,9,NA,NA,NA,NA,0,8674043,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:05:46.6231,Discrete,KeyDown,1,8,4,9,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:05:47.2563,Discrete,InputWindowOver,1,8,4,9,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-19,13:06:18.6753,Discrete,KeyDown,2,2,4,10,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:18.9247,Discrete,KeyDown,2,2,4,10,r,Correct,R,0,2502548,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:19.1922,Discrete,KeyDown,2,2,4,10,w,Correct,W,0,2670385,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:19.5262,Discrete,KeyDown,2,2,4,10,e,Correct,E,0,3336355,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:19.5262,Discrete,Sequence Success,2,2,4,10,NA,NA,NA,NA,0,8509288,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:21.2437,Discrete,InputWindowOver,2,2,5,10,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:06:49.5762,Discrete,KeyDown,2,2,5,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:49.8931,Discrete,KeyDown,2,2,5,11,r,Correct,R,0,3165264,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:50.2268,Discrete,KeyDown,2,2,5,11,w,Correct,W,0,3341677,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:50.7105,Discrete,KeyDown,2,2,5,11,e,Correct,E,0,4835179,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:50.7105,Discrete,Sequence Success,2,2,5,11,NA,NA,NA,NA,1,134212,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:06:52.1446,Discrete,InputWindowOver,2,2,6,11,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:07:12.3511,Discrete,KeyDown,2,3,6,12,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:12.7007,Discrete,KeyDown,2,3,6,12,r,Correct,R,0,3504232,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:12.9848,Discrete,KeyDown,2,3,6,12,w,Correct,W,0,2832489,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:13.2677,Discrete,KeyDown,2,3,6,12,e,Correct,E,0,2838339,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:13.2677,Discrete,Sequence Success,2,3,6,12,NA,NA,NA,NA,0,917506,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:13.9010,Discrete,KeyDown,2,3,6,12,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:14.7870,Discrete,InputWindowOver,2,3,6,12,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-19,13:07:35.4429,Discrete,KeyDown,2,3,6,13,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:35.8760,Discrete,KeyDown,2,3,6,13,r,Correct,R,0,4337115,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:36.2270,Discrete,KeyDown,2,3,6,13,w,Correct,W,0,3502869,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:36.5103,Discrete,KeyDown,2,3,6,13,e,Correct,E,0,2835996,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:36.5103,Discrete,Sequence Success,2,3,6,13,NA,NA,NA,NA,1,067598,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:07:37.8781,Discrete,InputWindowOver,2,3,7,13,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:08:01.5721,Discrete,KeyDown,2,3,7,14,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:01.9553,Discrete,KeyDown,2,3,7,14,r,Correct,R,0,3836022,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:02.2725,Discrete,KeyDown,2,3,7,14,w,Correct,W,0,3171335,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:02.7562,Discrete,KeyDown,2,3,7,14,e,Correct,E,0,4837153,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:02.7562,Discrete,Sequence Success,2,3,7,14,NA,NA,NA,NA,1,184451,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:03.4072,Discrete,KeyDown,2,3,7,14,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:04.3078,Discrete,InputWindowOver,2,3,7,14,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA,
2020-05-19,13:08:25.3978,Discrete,KeyDown,2,3,7,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:25.7808,Discrete,KeyDown,2,3,7,15,r,Correct,R,0,3839311,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:26.0650,Discrete,KeyDown,2,3,7,15,w,Correct,W,0,2836624,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:26.5496,Discrete,KeyDown,2,3,7,15,e,Correct,E,0,4839728,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:26.5496,Discrete,Sequence Success,2,3,7,15,NA,NA,NA,NA,1,151566,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:08:27.9511,Discrete,InputWindowOver,2,3,8,15,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:09:17.6394,Discrete,Frustration Questionnaire,NA,NA,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,
2020-05-19,13:09:53.9634,Discrete,KeyDown,3,4,8,16,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:09:54.2455,Discrete,KeyDown,3,4,8,16,r,Correct,R,0,2834859,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:09:54.5291,Discrete,KeyDown,3,4,8,16,w,Correct,W,0,2836502,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:09:54.7296,Discrete,KeyDown,3,4,8,16,e,Correct,E,0,2004053,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:09:54.7296,Discrete,Sequence Success,3,4,8,16,NA,NA,NA,NA,0,7675414,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:09:56.5154,Discrete,InputWindowOver,3,4,9,16,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:10:17.0206,Discrete,KeyDown,3,5,9,17,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:17.2541,Discrete,KeyDown,3,5,9,17,r,Correct,R,0,2339024,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:17.4549,Discrete,KeyDown,3,5,9,17,w,Correct,W,0,200341,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:17.9212,Discrete,KeyDown,3,5,9,17,e,Correct,E,0,4667613,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:17.9212,Discrete,Sequence Success,3,5,9,17,NA,NA,NA,NA,0,9010047,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:18.3215,Discrete,KeyDown,3,5,9,17,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:18.7061,Discrete,KeyDown,3,5,9,17,e,Failed,T,0,3835072,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:18.9228,Discrete,KeyDown,3,5,9,17,e,Failed,T,0,2170207,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:18.9228,Discrete,Sequence Failed,3,5,9,17,NA,NA,NA,NA,0,6005279,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:19.7735,Discrete,InputWindowOver,3,5,9,17,NA,NA,NA,NA,NA,1,1,1,2,Fish Escaped,NA,NA,
2020-05-19,13:10:40.8311,Discrete,KeyDown,3,4,9,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:41.1638,Discrete,KeyDown,3,4,9,18,r,Correct,R,0,3337901,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:41.7153,Discrete,KeyDown,3,4,9,18,e,Failed,W,0,550573,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:41.7153,Discrete,Sequence Failed,3,4,9,18,NA,NA,NA,NA,0,8843631,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:41.9486,Discrete,KeyDown,3,4,9,18,w,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:42.0822,Discrete,KeyDown,3,4,9,18,e,Failed,T,0,1333105,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:42.2662,Discrete,KeyDown,3,4,9,18,w,Failed,T,0,1838926,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:42.2662,Discrete,Sequence Failed,3,4,9,18,NA,NA,NA,NA,0,3172031,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:42.3819,Discrete,KeyDown,3,4,9,18,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:42.6488,Discrete,KeyDown,3,4,9,18,e,Failed,T,0,267208,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:43.6162,Discrete,Sequence Failed,3,4,9,18,NA,NA,NA,NA,1,235379,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:10:43.6172,Discrete,InputWindowOver,3,4,9,18,NA,NA,NA,NA,NA,0,3,0,3,Fish Escaped,NA,NA,
2020-05-19,13:11:10.0124,Discrete,KeyDown,3,4,9,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:10.2967,Discrete,KeyDown,3,4,9,19,r,Correct,R,0,2836043,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:10.5460,Discrete,KeyDown,3,4,9,19,w,Correct,W,0,2503732,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:10.9798,Discrete,KeyDown,3,4,9,19,e,Correct,E,0,4337806,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:10.9798,Discrete,Sequence Success,3,4,9,19,NA,NA,NA,NA,0,9677581,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:11.2137,Discrete,KeyDown,3,4,9,19,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:11.3978,Discrete,KeyDown,3,4,9,19,e,Failed,T,0,1834738,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:11.5644,Discrete,KeyDown,3,4,9,19,e,Failed,T,0,1672372,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:11.5644,Discrete,Sequence Failed,3,4,9,19,NA,NA,NA,NA,0,350711,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:12.6319,Discrete,InputWindowOver,3,4,10,19,NA,NA,NA,NA,NA,1,1,0,2,Got Fish,NA,NA,
2020-05-19,13:11:34.7068,Discrete,KeyDown,3,5,10,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:35.0065,Discrete,KeyDown,3,5,10,20,r,Correct,R,0,3001402,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:35.2740,Discrete,KeyDown,3,5,10,20,w,Correct,W,0,2670406,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:35.6079,Discrete,KeyDown,3,5,10,20,e,Correct,E,0,3334788,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:35.6079,Discrete,Sequence Success,3,5,10,20,NA,NA,NA,NA,0,9006596,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:35.9080,Discrete,KeyDown,3,5,10,20,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:11:37.4758,Discrete,InputWindowOver,3,5,11,20,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:12:00.6685,Discrete,KeyDown,3,5,11,21,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:12:00.9187,Discrete,KeyDown,3,5,11,21,r,Correct,R,0,2501394,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:12:01.2192,Discrete,KeyDown,3,5,11,21,w,Correct,W,0,3001539,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:12:01.5532,Discrete,KeyDown,3,5,11,21,e,Correct,E,0,3340166,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:12:01.5532,Discrete,Sequence Success,3,5,11,21,NA,NA,NA,NA,0,8843099,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:12:01.9197,Discrete,KeyDown,3,5,11,21,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,13:12:03.3875,Discrete,InputWindowOver,3,5,12,21,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-19,13:12:23.8938,Discrete,Frustration Questionnaire,NA,NA,12,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,
