Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,10:25:56.8333,Continuous,KeyDown,2,2,4,6,r,Correct,R,0,3056255,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:57.0768,Continuous,KeyDown,2,2,4,6,w,Correct,W,0,24306,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:57.3340,Continuous,KeyDown,2,2,4,6,e,Correct,E,0,2569585,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:57.3340,Continuous,Sequence Success,2,2,4,6,NA,NA,NA,NA,0,805644,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:57.6601,Continuous,KeyDown,2,2,4,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:57.9444,Continuous,KeyDown,2,2,4,6,r,Correct,R,0,284751,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:58.2160,Continuous,KeyDown,2,2,4,6,w,Correct,W,0,2709667,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:58.4519,Continuous,KeyDown,2,2,4,6,e,Correct,E,0,2362462,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:58.4519,Continuous,Sequence Success,2,2,4,6,NA,NA,NA,NA,0,7919639,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:58.7921,Continuous,KeyDown,2,2,4,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:59.1043,Continuous,KeyDown,2,2,4,6,r,Correct,R,0,3125718,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:59.3636,Continuous,KeyDown,2,2,4,6,w,Correct,W,0,2569016,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:59.6199,Continuous,KeyDown,2,2,4,6,e,Correct,E,0,2569547,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:59.6199,Continuous,Sequence Success,2,2,4,6,NA,NA,NA,NA,0,8264281,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:25:59.9800,Continuous,KeyDown,2,2,4,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:00.2998,Continuous,KeyDown,2,2,4,6,r,Correct,R,0,3195148,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:00.3966,Continuous,Sequence Failed,2,2,4,6,NA,NA,NA,NA,0,4168497,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:00.3966,Continuous,InputWindowOver,2,2,4,6,NA,NA,NA,NA,NA,5,1,0,6,Fish Escaped,NA,NA,
2020-05-20,10:26:23.0787,Continuous,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:23.3830,Continuous,KeyDown,2,2,4,7,r,Correct,R,0,3053527,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:23.6962,Continuous,KeyDown,2,2,4,7,w,Correct,W,0,3125446,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:24.0223,Continuous,KeyDown,2,2,4,7,e,Correct,E,0,3263247,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:24.0223,Continuous,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,944222,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:24.4043,Continuous,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:24.7862,Continuous,KeyDown,2,2,4,7,r,Correct,R,0,3819572,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:25.1060,Continuous,KeyDown,2,2,4,7,w,Correct,W,0,3194174,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:25.4738,Continuous,KeyDown,2,2,4,7,e,Correct,E,0,3681455,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:25.4738,Continuous,Sequence Success,2,2,4,7,NA,NA,NA,NA,1,06952,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:25.8351,Continuous,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:26.1961,Continuous,KeyDown,2,2,4,7,r,Correct,R,0,3611511,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:26.4874,Continuous,KeyDown,2,2,4,7,w,Correct,W,0,2916736,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:26.8007,Continuous,KeyDown,2,2,4,7,e,Correct,E,0,3124275,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:26.8007,Continuous,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,9652522,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:27.1549,Continuous,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:27.5296,Continuous,KeyDown,2,2,4,7,r,Correct,R,0,3750084,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:27.8353,Continuous,KeyDown,2,2,4,7,w,Correct,W,0,3055769,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:28.2731,Continuous,KeyDown,2,2,4,7,e,Correct,E,0,4376584,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:28.2731,Continuous,Sequence Success,2,2,4,7,NA,NA,NA,NA,1,118244,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:28.5783,Continuous,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:28.9462,Continuous,KeyDown,2,2,4,7,r,Correct,R,0,3748045,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:29.1613,Continuous,Sequence Failed,2,2,4,7,NA,NA,NA,NA,0,5903578,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:29.1613,Continuous,InputWindowOver,2,2,5,7,NA,NA,NA,NA,NA,4,1,0,5,Got Fish,NA,NA,
2020-05-20,10:26:50.0300,Continuous,KeyDown,2,2,5,8,e,Failed,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:50.5514,Continuous,KeyDown,2,2,5,8,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:50.8020,Continuous,KeyDown,2,2,5,8,r,Correct,R,0,2499391,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:51.1140,Continuous,KeyDown,2,2,5,8,w,Correct,W,0,3056887,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,10:26:51.3713,Continuous,KeyDown,2,2,5,8,e,Correct,E,0,2638147,NA,NA,NA,NA,NA,NA,NA,NA,
