Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration,
19/05/2020,31:32.5,Discrete,KeyDown,1,0,1,3,w,Correct,W,0,2569296,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:32.6,Discrete,KeyDown,1,0,1,3,e,Correct,E,0,7646936,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:32.6,Discrete,Sequence Success,1,0,1,3,NA,NA,NA,NA,0,3820229,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:34.8,Discrete,InputWindowOver,1,0,2,3,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,31:54.1,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,31:54.1,Discrete,KeyDown,1,1,2,4,r,Correct,R,0,695052,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:54.3,Discrete,KeyDown,1,1,2,4,w,Correct,W,0,2082548,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:54.4,Discrete,KeyDown,1,1,2,4,e,Correct,E,0,7656443,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:54.4,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,3543244,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:55.1,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,31:55.1,Discrete,KeyDown,1,1,2,4,r,Correct,R,0,555081,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:55.4,Discrete,KeyDown,1,1,2,4,w,Correct,W,0,2431189,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:55.4,Discrete,KeyDown,1,1,2,4,e,Correct,E,0,6242931,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:55.4,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,3610563,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:56.1,Discrete,KeyDown,1,1,2,4,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,31:56.1,Discrete,KeyDown,1,1,2,4,r,Correct,R,0,41673,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:56.4,Discrete,KeyDown,1,1,2,4,w,Correct,W,0,2154027,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:56.4,Discrete,KeyDown,1,1,2,4,e,Correct,E,0,7639059,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:56.4,Discrete,Sequence Success,1,1,2,4,NA,NA,NA,NA,0,3334663,NA,NA,NA,NA,NA,NA,NA
19/05/2020,31:56.6,Discrete,InputWindowOver,1,1,2,4,NA,NA,NA,NA,NA,3,0,3,3,Fish Escaped,NA,NA,
19/05/2020,32:14.8,Discrete,KeyDown,1,1,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,32:14.8,Discrete,KeyDown,1,1,2,5,r,Correct,R,0,694339,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:15.0,Discrete,KeyDown,1,1,2,5,w,Correct,W,0,2081748,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:15.1,Discrete,KeyDown,1,1,2,5,e,Correct,E,0,9728721,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:15.1,Discrete,Sequence Success,1,1,2,5,NA,NA,NA,NA,0,3748959,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:17.2,Discrete,InputWindowOver,1,1,3,5,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,32:40.1,Discrete,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,32:40.2,Discrete,KeyDown,1,1,3,6,r,Correct,R,0,555685,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:40.4,Discrete,KeyDown,1,1,3,6,w,Correct,W,0,2222119,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:40.5,Discrete,KeyDown,1,1,3,6,e,Correct,E,0,6960854,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:40.5,Discrete,Sequence Success,1,1,3,6,NA,NA,NA,NA,0,3473889,NA,NA,NA,NA,NA,NA,NA
19/05/2020,32:42.7,Discrete,InputWindowOver,1,1,4,6,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
19/05/2020,33:05.0,Discrete,Frustration Questionnaire,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,
19/05/2020,33:24.4,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,33:24.4,Discrete,KeyDown,2,2,4,7,r,Correct,R,0,627359,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:24.6,Discrete,KeyDown,2,2,4,7,w,Correct,W,0,201297,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:24.7,Discrete,KeyDown,2,2,4,7,e,Correct,E,0,7637727,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:24.7,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,3404102,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:25.3,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,33:25.4,Discrete,KeyDown,2,2,4,7,r,Correct,R,0,486405,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:25.6,Discrete,KeyDown,2,2,4,7,w,Correct,W,0,2220002,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:25.7,Discrete,KeyDown,2,2,4,7,e,Correct,E,0,8333483,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:25.7,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,3539755,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:26.2,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
19/05/2020,33:26.2,Discrete,KeyDown,2,2,4,7,r,Correct,R,0,479447,NA,NA,NA,NA,NA,NA,NA,NA
19/05/2020,33:26.5,Discrete,KeyDown,2,2,4,7,w,Correct,W,0,243127,NA,NA,NA,NA,NA,NA,NA,NA
