Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-19,15:19:42.2965,Continuous,Sequence Success,1,1,3,6,NA,NA,NA,NA,0,4584384,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:42.5812,Continuous,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:42.6851,Continuous,KeyDown,1,1,3,6,r,Correct,R,0,1042091,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:42.8999,Continuous,KeyDown,1,1,3,6,w,Correct,W,0,2153172,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:42.9842,Continuous,KeyDown,1,1,3,6,e,Correct,E,0,0834651,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:42.9842,Continuous,Sequence Success,1,1,3,6,NA,NA,NA,NA,0,4029914,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:19:45.4712,Continuous,InputWindowOver,1,1,4,6,NA,NA,NA,NA,NA,4,1,0,5,Got Fish,NA,NA,
2020-05-19,15:20:33.6276,Continuous,Frustration Questionnaire,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,
2020-05-19,15:20:58.4325,Continuous,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:58.5091,Continuous,KeyDown,2,2,4,7,r,Correct,R,0,07637219,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:58.7103,Continuous,KeyDown,2,2,4,7,w,Correct,W,0,2014318,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:58.8417,Continuous,KeyDown,2,2,4,7,e,Correct,E,0,1321592,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:58.8417,Continuous,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,4099633,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:59.1274,Continuous,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:59.2031,Continuous,KeyDown,2,2,4,7,r,Correct,R,0,07635441,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:59.4253,Continuous,KeyDown,2,2,4,7,w,Correct,W,0,2222032,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:59.5224,Continuous,KeyDown,2,2,4,7,e,Correct,E,0,0972147,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-19,15:20:59.5224,Continuous,Sequence Success,2,2,4,7,NA,NA,NA,NA,0,3957723,NA,NA,NA,NA,NA,NA,NA,
