Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
2020-05-20,13:19:52.7933,Discrete,KeyDown,3,4,9,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:53.0437,Discrete,KeyDown,3,4,9,15,r,Correct,R,0,2499405,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:53.2766,Discrete,KeyDown,3,4,9,15,w,Correct,W,0,2333789,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:53.3436,Discrete,KeyDown,3,4,9,15,e,Correct,E,0,06655622,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:53.3436,Discrete,Sequence Success,3,4,9,15,NA,NA,NA,NA,0,5498756,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:54.4267,Discrete,KeyDown,3,4,9,15,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:54.6435,Discrete,KeyDown,3,4,9,15,r,Correct,R,0,2166041,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:54.7936,Discrete,KeyDown,3,4,9,15,w,Correct,W,0,1500437,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:55.1609,Discrete,KeyDown,3,4,9,15,e,Correct,E,0,3665247,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:55.1609,Discrete,Sequence Success,3,4,9,15,NA,NA,NA,NA,0,7331725,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:19:55.3105,Discrete,InputWindowOver,3,4,9,15,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,NA,NA,
2020-05-20,13:20:14.9268,Discrete,KeyDown,3,4,9,16,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:15.1768,Discrete,KeyDown,3,4,9,16,r,Correct,R,0,25002,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:15.4100,Discrete,KeyDown,3,4,9,16,w,Correct,W,0,2333537,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:15.6262,Discrete,KeyDown,3,4,9,16,e,Correct,E,0,2167224,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:15.6262,Discrete,Sequence Success,3,4,9,16,NA,NA,NA,NA,0,7000961,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:17.4600,Discrete,InputWindowOver,3,4,10,16,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:20:38.4922,Discrete,KeyDown,3,5,10,17,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:38.7760,Discrete,KeyDown,3,5,10,17,r,Correct,R,0,2834814,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:39.0257,Discrete,KeyDown,3,5,10,17,w,Correct,W,0,2498321,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:39.2089,Discrete,KeyDown,3,5,10,17,e,Correct,E,0,1832434,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:39.2089,Discrete,Sequence Success,3,5,10,17,NA,NA,NA,NA,0,7165569,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:20:41.0260,Discrete,InputWindowOver,3,5,11,17,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:21:02.2584,Discrete,KeyDown,3,5,11,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:02.4746,Discrete,KeyDown,3,5,11,18,r,Correct,R,0,2165489,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:02.6920,Discrete,KeyDown,3,5,11,18,w,Correct,W,0,2168303,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:02.8414,Discrete,KeyDown,3,5,11,18,e,Correct,E,0,1498461,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:02.8414,Discrete,Sequence Success,3,5,11,18,NA,NA,NA,NA,0,5832253,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:04.0923,Discrete,KeyDown,3,5,11,18,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:04.2084,Discrete,KeyDown,3,5,11,18,r,Correct,R,0,1167417,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:04.3415,Discrete,KeyDown,3,5,11,18,ew,Correct,W,0,133389,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:04.7254,Discrete,Sequence Failed,3,5,11,18,NA,NA,NA,NA,0,6334037,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:04.7254,Discrete,InputWindowOver,3,5,11,18,NA,NA,NA,NA,NA,1,1,1,2,Fish Escaped,NA,NA,
2020-05-20,13:21:24.4414,Discrete,KeyDown,3,5,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:24.7913,Discrete,KeyDown,3,5,11,19,r,Correct,R,0,3499962,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:25.0575,Discrete,KeyDown,3,5,11,19,w,Correct,W,0,2666427,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:25.2577,Discrete,KeyDown,3,5,11,19,e,Correct,E,0,1999043,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:25.2577,Discrete,Sequence Success,3,5,11,19,NA,NA,NA,NA,0,8165432,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:26.2408,Discrete,KeyDown,3,5,11,19,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:26.4079,Discrete,KeyDown,3,5,11,19,r,Correct,R,0,1667157,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:26.5744,Discrete,KeyDown,3,5,11,19,w,Correct,W,0,1666832,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:26.6915,Discrete,KeyDown,3,5,11,19,e,Correct,E,0,116647,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:26.6915,Discrete,Sequence Success,3,5,11,19,NA,NA,NA,NA,0,4500459,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:26.9577,Discrete,InputWindowOver,3,5,11,19,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,NA,NA,
2020-05-20,13:21:50.7570,Discrete,KeyDown,3,5,11,20,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:51.1570,Discrete,KeyDown,3,5,11,20,r,Correct,R,0,3999799,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:51.4734,Discrete,KeyDown,3,5,11,20,w,Correct,W,0,3165641,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:51.6908,Discrete,KeyDown,3,5,11,20,e,Correct,E,0,2166888,NA,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:51.6908,Discrete,Sequence Success,3,5,11,20,NA,NA,NA,NA,0,9332328,NA,NA,NA,NA,NA,NA,NA,
2020-05-20,13:21:53.1900,Discrete,InputWindowOver,3,5,12,20,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA,
2020-05-20,13:22:01.2901,Discrete,Frustration Questionnaire,NA,NA,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,
