Date,Timestamp,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish,InstantFrustration,GlobalFrustration
12/05/2020,00:55.4,Discrete,KeyDown,1,0,2,5,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:55.5,Discrete,KeyDown,1,0,2,5,r,Correct,R,0.1145009,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:55.7,Discrete,KeyDown,1,0,2,5,w,Correct,W,0.1559366,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:55.7,Discrete,KeyDown,1,0,2,5,e,Correct,E,0.08045992,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:55.7,Discrete,Sequence Success,1,0,2,5,NA,NA,NA,NA,0.3508974,NA,NA,NA,NA,NA,NA,NA
12/05/2020,00:58.0,Discrete,InputWindowOver,1,0,3,5,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,01:20.1,Discrete,KeyDown,1,1,3,6,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:20.2,Discrete,KeyDown,1,1,3,6,r,Correct,R,0.0902428,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:20.3,Discrete,KeyDown,1,1,3,6,w,Correct,W,0.160309,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:22.0,Discrete,KeyDown,1,1,3,6,t,Correct,E,1.609767,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:22.0,Discrete,KeyDown,1,1,3,6,r,Correct,R,0.07713854,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:22.1,Discrete,KeyDown,1,1,3,6,w,Correct,W,0.05268764,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:22.2,Discrete,KeyDown,1,1,3,6,e,Correct,E,0.09371603,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:22.2,Discrete,Sequence Success,1,1,3,6,NA,NA,NA,NA,2.083861,NA,NA,NA,NA,NA,NA,NA
12/05/2020,01:22.8,Discrete,InputWindowOver,1,1,4,6,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,NA,NA
12/05/2020,06:36.1,Discrete,Frustration Questionnaire,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10
12/05/2020,06:58.3,Discrete,KeyDown,2,2,4,7,t,Correct,T,0,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,06:58.4,Discrete,KeyDown,2,2,4,7,r,Correct,R,0.1037752,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,06:58.6,Discrete,KeyDown,2,2,4,7,w,Correct,W,0.1374826,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,06:58.7,Discrete,KeyDown,2,2,4,7,e,Correct,E,0.1239069,NA,NA,NA,NA,NA,NA,NA,NA
12/05/2020,06:58.7,Discrete,Sequence Success,2,2,4,7,NA,NA,NA,NA,0.3651647,NA,NA,NA,NA,NA,NA,NA
12/05/2020,07:01.1,Discrete,InputWindowOver,2,2,4,7,NA,NA,NA,NA,NA,1,0,1,1,Fish Escaped,NA,NA
