Date,Timestamp,PlayerID,currentCondition,Event,WorldID,FishID,TotalFishCaught,BubbleNumber,KeyCode,CorrectKey,KeyExpected,TimeSinceLastKey,SequenceCompleteTime,CorrectSequencesEntered,SequencesFailed,CorrectSequencesDiscarded,TotalAttemptsInBubble,GotFish
2020-05-11,10:13:22.2769,Lilla Banan,Discrete,Sequence Success,2,2,7,11,NA,NA,NA,NA,0.364011,NA,NA,NA,NA,NA,
2020-05-11,10:13:23.0207,Lilla Banan,Discrete,KeyDown,2,2,7,11,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:23.2076,Lilla Banan,Discrete,KeyDown,2,2,7,11,r,Correct,R,0.1877289,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:23.3236,Lilla Banan,Discrete,KeyDown,2,2,7,11,w,Correct,W,0.1151372,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:23.4225,Lilla Banan,Discrete,KeyDown,2,2,7,11,e,Correct,E,0.1000595,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:23.4225,Lilla Banan,Discrete,Sequence Success,2,2,7,11,NA,NA,NA,NA,0.4029256,NA,NA,NA,NA,NA,
2020-05-11,10:13:24.3606,Lilla Banan,Discrete,InputWindowOver,2,2,7,11,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,
2020-05-11,10:13:42.0083,Lilla Banan,Discrete,KeyDown,2,2,7,12,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:42.1345,Lilla Banan,Discrete,KeyDown,2,2,7,12,r,Correct,R,0.1265566,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:42.3304,Lilla Banan,Discrete,KeyDown,2,2,7,12,w,Correct,W,0.1950517,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:42.4194,Lilla Banan,Discrete,KeyDown,2,2,7,12,e,Correct,E,0.08918664,NA,NA,NA,NA,NA,NA,
2020-05-11,10:13:42.4194,Lilla Banan,Discrete,Sequence Success,2,2,7,12,NA,NA,NA,NA,0.4107949,NA,NA,NA,NA,NA,
2020-05-11,10:13:44.6384,Lilla Banan,Discrete,InputWindowOver,2,2,8,12,NA,NA,NA,NA,NA,1,0,0,1,Got Fish,
2020-05-11,10:17:20.1284,Lilla Banan,Discrete,KeyDown,3,5,8,13,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:20.2384,Lilla Banan,Discrete,KeyDown,3,5,8,13,r,Correct,R,0.1091155,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:20.3004,Lilla Banan,Discrete,KeyDown,3,5,8,13,w,Correct,W,0.0641809,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:20.3953,Lilla Banan,Discrete,KeyDown,3,5,8,13,e,Correct,E,0.09481661,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:20.3953,Lilla Banan,Discrete,Sequence Success,3,5,8,13,NA,NA,NA,NA,0.268113,NA,NA,NA,NA,NA,
2020-05-11,10:17:20.4918,Lilla Banan,Discrete,KeyDown,3,5,8,13,r,Failed,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:21.0427,Lilla Banan,Discrete,KeyDown,3,5,8,13,t,Correct,T,0,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:21.1356,Lilla Banan,Discrete,KeyDown,3,5,8,13,r,Correct,R,0.09361421,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:21.2146,Lilla Banan,Discrete,KeyDown,3,5,8,13,w,Correct,W,0.07499489,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:21.2926,Lilla Banan,Discrete,KeyDown,3,5,8,13,e,Correct,E,0.08057688,NA,NA,NA,NA,NA,NA,
2020-05-11,10:17:21.2926,Lilla Banan,Discrete,Sequence Success,3,5,8,13,NA,NA,NA,NA,0.249186,NA,NA,NA,NA,NA,
2020-05-11,10:17:22.6405,Lilla Banan,Discrete,InputWindowOver,3,5,8,13,NA,NA,NA,NA,NA,2,0,2,2,Fish Escaped,
